State,Year,Open Primary Date,Primary Date,General Date,Primary Runoff Date,General Runoff Date,Special Election (Y/N),Presidential Primary,Executive Offices Only,State House District,State Senate District,National House District,National Senate,Notes,Source (Primary),Source (General if different),Source (Primary Runoff if different),,
Alabama,1998,,6/2/98,11/3/98,6/30/98,,N,,,,,,,,http://www.cnn.com/ALLPOLITICS/1998/06/03/alabama.results/,http://clerk.house.gov/member_info/electionInfo/1998election.pdf,,,
Alabama,2000,,6/6/00,11/7/00,6/27/00,,N,,,,,,,,http://alabamavotes.gov/ElectionInfo/2000ImportantDates.aspx?a=voters,,,,
Alabama,2002,,6/4/02,11/5/02,6/25/02,,N,,,,,,,,http://alabamavotes.gov/ElectionInfo/2002Elections.aspx?a=voters,,,,
Alabama,2004,,6/1/04,11/2/04,6/29/04,,N,,,,,,,,http://alabamavotes.gov/ElectionInfo/2004Elections.aspx?a=voters,,,,
Alabama,2004,,9/21/04,11/30/04,10/26/04,,Y,,,47,,,,,,,,,
Alabama,2004,,10/26/04,1/24/05,,,Y,,,65,,,,,,,,,
Alabama,2004,,10/26/04,1/25/05,12/14/04,,Y,,,,24,,,,,,,,
Alabama,2004,,12/14/04,3/8/05,1/24/05,,Y,,,82,,,,,,,,,
Alabama,2005,,3/15/05,,4/26/05,,Y,,,46,,,,,,,,,
Alabama,2005,,5/3/05,,,,Y,,,72,,,,,,,,,
Alabama,2006,,6/6/06,11/7/06,6/18/06,,N,,,,,,,,http://alabamavotes.gov/ElectionInfo/2006Elections.aspx?a=voters,,,,
Alabama,2006,,1/24/06,2/28/06,,,Y,,,31,,,,,,,,,
Alabama,2006,,2/14/06,3/21/06,,,Y,,,1,,,,,,,,,
Alabama,2007,,1/23/07,3/6/07,,,Y,,,22,,,,,http://alabamavotes.gov/ElectionInfo/2007Elections.aspx?a=voters,,,,
Alabama,2007,,8/7/07,10/16/07,9/11/07,,Y,,,,32,,,,,,,,
Alabama,2007,,11/13/07,1/29/08,12/18/07,,Y,,,12,,,,,,,,,
Alabama,2008,,6/3/08,11/4/08,7/15/08,,N,,,,,,,,http://alabamavotes.gov/ElectionInfo/2008Elections.aspx?a=voters,,,,
Alabama,2008,,2/5/08,,,,Y,Y,,,,,,,,,,,
